test,pred
181.9619,161.5853271484375
183.1051,188.8488006591797
179.1705,180.8773193359375
189.9474,170.54922485351562
173.3004,188.1737060546875
185.2588,170.20994567871094
198.6672,187.46762084960938
198.0944,213.82199096679688
252.8458,216.1180877685547
253.4097,263.1375427246094
269.9874,249.76394653320312
261.3819,248.2670440673828
285.2616,259.4386901855469
288.9912,294.2121276855469
301.663,299.5380554199219
238.4762,250.32907104492188
251.5344,254.67092895507812
182.6862,187.95611572265625
155.2166,157.1106719970703
165.6039,164.566650390625
